,openmlid,learner,violation,acceptance
300,31,sklearn.linear_model.PassiveAggressiveClassifier,-0.0247453193832599,0.024504405286343612
301,31,sklearn.linear_model.Perceptron,-0.008145229982964243,0.024412029150104084
302,31,sklearn.linear_model.RidgeClassifier,-0.01084375,0.007952083333333344
303,31,sklearn.linear_model.SGDClassifier,-0.017153083700440535,0.01712292846654082
304,31,sklearn.naive_bayes.BernoulliNB,-0.004660087719298237,0.004489942528735622
305,31,sklearn.naive_bayes.MultinomialNB,-0.0020299560041407514,0.009789887422360264
306,31,sklearn.neighbors.KNeighborsClassifier,-0.0340839460784314,0.009523080065359542
307,31,sklearn.neural_network.MLPClassifier,-0.0044653578290105665,0.012728146013448642
308,31,sklearn.tree.DecisionTreeClassifier,-0.032508491023774906,0.007247695293546821
309,31,sklearn.tree.ExtraTreeClassifier,-0.00736842105263157,0.019035087719298214
310,32,SVC_linear,-0.0009498367468091422,0.0020197522868938755
311,32,SVC_poly,0.0,0.0008761560693641626
312,32,SVC_rbf,-1.2238903394254576e-05,0.0006134481929366509
313,32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.008930790258449306,0.0007489986551280558
314,32,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.005383010549519757,0.0021453314438671127
315,32,sklearn.ensemble.ExtraTreesClassifier,0.0,0.0008387546468401537
316,32,sklearn.ensemble.GradientBoostingClassifier,-0.0017735680190930872,0.00040684665871121745
317,32,sklearn.ensemble.RandomForestClassifier,0.0,0.00047834721953109806
318,32,sklearn.linear_model.LogisticRegression,-0.00018019480519480528,0.0011899350649350645
319,32,sklearn.linear_model.PassiveAggressiveClassifier,-0.00044225146198830406,0.0018055555555555574
320,32,sklearn.linear_model.Perceptron,-0.0004484371300023683,0.001366771252663982
321,32,sklearn.linear_model.RidgeClassifier,-4.686914135733151e-06,0.001144100408501569
322,32,sklearn.linear_model.SGDClassifier,-0.0006011289935142924,0.0021212667147089493
323,32,sklearn.naive_bayes.BernoulliNB,-0.0014833804809052174,0.0006968579511012324
324,32,sklearn.naive_bayes.MultinomialNB,-0.00027777777777777675,0.0017912927883017653
325,32,sklearn.neighbors.KNeighborsClassifier,0.0,0.0004973323170731716
326,32,sklearn.tree.DecisionTreeClassifier,-0.001229121580378424,0.0004161811220243053
327,32,sklearn.tree.ExtraTreeClassifier,-0.00019485417365068143,0.00035990985957462865
328,36,SVC_linear,-0.0036411616714067,0.004223182381681617
329,36,SVC_poly,-0.0029875935048348816,0.0029716292647327123
330,36,SVC_rbf,-0.0010385778242921093,0.0014119845469051826
331,36,SVC_sigmoid,-0.0046210200056354045,0.003219921104536483
